,City,Country,Lat,Lng,Hotel Name
371,Republic,US,37.12,-93.48,AmericInn by Wyndham Republic
372,Ust'-Koksa,RU,50.27,85.61,"Gostevyye Doma ""Portal Belukha"""
373,Nongstoin,IN,25.52,91.27,Yo-yee Travellers Inn
374,Los Llanos de Aridane,ES,28.66,-17.92,Hotel Hacienda de Abajo
375,Hirara,JP,24.8,125.28,HOTEL LOCUS
376,Yulara,AU,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
377,Pemangkat,ID,1.17,108.97,Grand Hotel
378,Mossamedes,AO,-15.2,12.15,Hotel ibis Styles Iu Namibe
379,Wajima,JP,37.4,136.9,海岸通り
380,Kaeo,NZ,-35.1,173.78,Pacific Harbour Lodge
381,Tilichiki,RU,60.47,166.1,
382,Beringovskiy,RU,63.05,179.32,
383,Coquimbo,CL,-29.95,-71.34,Enjoy Coquimbo Hotel de la Bahía
384,Aklavik,CA,68.22,-135.01,Sundog Inn
385,Aykino,RU,62.22,49.99,
386,Halifax,CA,44.65,-63.57,Halifax Marriott Harbourfront Hotel
387,Alofi,NU,-19.06,-169.92,Taloa Heights
388,Portobelo,PA,9.55,-79.65,El Otro Lado - Private Retreat
389,Liku,ID,-0.73,119.89,
391,The Valley,AI,18.22,-63.06,"Zemi Beach House, LXR Hotels & Resorts"
392,Bairiki Village,KI,1.33,172.98,Fema Lodge
393,Kilindoni,TZ,-7.91,39.67,Afro Beach Bungalows Mafia
394,French Harbor,HN,16.35,-86.43,Clarion Suites Roatan at Pineapple Villas
395,Richards Bay,ZA,-28.78,32.04,BON Hotel Waterfront Richards Bay
396,Savonlinna,FI,61.87,28.88,Savonlinnan Kristillinen Opisto - Wanha Pappila
397,Bako,ET,5.78,36.57,Orit Hotel
398,Mitsamiouli,KM,-11.38,43.28,Al Camar Lodge
399,Locri,IT,38.24,16.26,Grand Hotel President
400,Mocuba,MZ,-16.84,36.99,Sāo Cristóvão
401,Altay,CN,47.87,88.12,Altay Regional Tourist Hotel
402,Mayo,US,38.89,-76.51,
403,Jiazi,CN,22.88,116.07,Jiutian Apartment
404,Phalombe,MW,-15.81,35.65,
405,Rolla,US,37.95,-91.77,Holiday Inn Express & Suites Rolla - Univ of Missouri S&T
406,Nova Olímpia,BR,-23.47,-53.09,
407,Tokur,RU,53.13,132.9,
408,Pasni,PK,25.26,63.47,Juddi Hotel
410,Motygino,RU,58.18,94.76,Gostinitsa Ip Zabirov
411,Carquefou,FR,47.3,-1.49,Westotel Nantes Atlantique
412,Rio Grande,BR,-32.03,-52.1,Laghetto Viverone Rio Grande
413,Mount Gambier,AU,-37.83,140.77,Commodore on the Park
414,Tuatapere,NZ,-46.13,167.68,Last Light Lodge
415,Berlevåg,NO,70.86,29.09,Berlevåg camping & Appartement AS
416,Mount Isa,AU,-20.73,139.5,Barkly Hotel
417,Beloha,MG,-25.17,45.05,
418,Jaora,IN,23.63,75.13,Hotel Karnawat Avenue
419,Gazli,UZ,40.13,63.45,
420,Yagodnoye,RU,62.55,149.67,Guest House Yagodnoe
421,Póvoa de Varzim,PT,41.38,-8.76,Varzinn Hotel
422,Gold Coast,AU,-28.0,153.43,Hilton Surfers Paradise Hotel & Residences
423,Bandarbeyla,SO,9.49,50.81,Super secret pirate cove
424,Brookings,US,44.31,-96.8,Hampton Inn & Suites Brookings
425,Siloam Springs,US,36.19,-94.54,Cherokee Hotel & Casino West Siloam Springs
426,Tevaitoa,PF,-16.78,-151.5,WestCoast Guest House
427,Morehead,US,37.27,-87.18,CCI Express Inn
428,Bonavista,CA,48.65,-53.11,Oceanside Cabins
429,Erbil,IQ,36.19,44.01,Altinsaray
430,Tavda,RU,58.04,65.27,Rodnik
431,Magdagachi,RU,53.45,125.8,"Gostinitsa ""Rayskiy Ugolok"""
432,Manicoré,BR,-5.8,-61.29,Hotel Durval
433,Coahuayana Viejo,MX,18.73,-103.68,Hotel Aeropuerto
434,Narsaq,GL,60.92,-46.05,Igdlo Guesthouse
435,Leningradskiy,RU,69.38,178.42,
436,Sembakung,ID,3.82,117.25,
437,Cabo San Lucas,MX,22.89,-109.91,Waldorf Astoria Los Cabos Pedregal
438,Tromsø,NO,69.65,18.96,Comfort Hotel Xpress Tromsø
440,Kassala,SD,15.45,36.4,اطسم للشقق الفندقية
441,Sawtell,AU,-30.38,153.1,SAWTELL BEACH SHACKS 1 & 2
